id_poligono;id_distrito;nombre_distrito;provincia;id_seccion;nombre_seccion;localidad;score_promedio;q_geo;indice_geo;q_estimada;q_personaspriorizadas;indice_hogares;hogares_estimados;observado;shape_texto
1;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";32.950621019108276;668;0.8211;813.5428;116;2.01004;404.74003441662677;0;"POLYGON((-37.944347 -57.539821,-37.945683 -57.539993,-37.946496 -57.54055,-37.947003 -57.541516,-37.947968 -57.543318,-37.947866 -57.544262,-37.947612 -57.545635,-37.947325 -57.546858,-37.947223 -57.54793,-37.946749 -57.548767,-37.946529 -57.549261,-37.941741 -57.543404,-37.944347 -57.539821))"
2;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";31.307845022624477;1838;0.8211;2238.4606;238;2.01004;1113.6409929013464;0;"POLYGON((-37.9417 -57.543458,-37.946462 -57.549283,-37.94609 -57.550034,-37.945751 -57.550699,-37.945734 -57.552415,-37.945108 -57.552823,-37.944042 -57.55544,-37.9439 -57.555709,-37.937865 -57.548383,-37.9417 -57.543458))"
3;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";30.486772111039443;1612;0.8211;1963.2201;179;2.01004;976.707987245304;0;"POLYGON((-37.943805 -57.555763,-37.943094 -57.556685,-37.94301 -57.557372,-37.942248 -57.556492,-37.938796 -57.560869,-37.93865 -57.560865,-37.936731 -57.558509,-37.935108 -57.556546,-37.935701 -57.555742,-37.933915 -57.553693,-37.937858 -57.548544,-37.943805 -57.555763))"
4;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";29.795036144578315;458;0.8211;557.7883;48;2.01004;277.5014008425867;0;"POLYGON((-37.938576 -57.561105,-37.936275 -57.564044,-37.933973 -57.561405,-37.93272 -57.563014,-37.929708 -57.559367,-37.933854 -57.553768,-37.935564 -57.55572,-37.935005 -57.556621,-37.938576 -57.561105))"
5;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";30.722422480620157;529;0.8211;644.2577;54;2.01004;320.5201769558496;0;"POLYGON((-37.936833 -57.549604,-37.933821 -57.553616,-37.92942 -57.548038,-37.932416 -57.544133,-37.936833 -57.549604))"
6;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";30.233446893787576;517;0.8211;629.6432;44;2.01004;313.2493978943479;0;"POLYGON((-37.929352 -57.548189,-37.933702 -57.553724,-37.928218 -57.561276,-37.924784 -57.557404,-37.923582 -57.555827,-37.929352 -57.548189))"
7;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";28.75071691176469;565;0.8211;688.1013;24;2.01004;342.33251413985704;0;"POLYGON((-37.932365 -57.544004,-37.927812 -57.550076,-37.92309 -57.543833,-37.927829 -57.537675,-37.932365 -57.544004))"
8;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";41.790846484935486;708;0.8211;862.2579;452;2.01004;428.9759646211348;0;"POLYGON((-37.944247 -57.583423,-37.944433 -57.584356,-37.943832 -57.58545,-37.943316 -57.585643,-37.943138 -57.585933,-37.942648 -57.586008,-37.942588 -57.586276,-37.942766 -57.586737,-37.942436 -57.586962,-37.942275 -57.587402,-37.940921 -57.588475,-37.940202 -57.58855,-37.939906 -57.589516,-37.940152 -57.590148,-37.939889 -57.590384,-37.939375 -57.590235,-37.938765 -57.590429,-37.937858 -57.590578,-37.936784 -57.585504,-37.942952 -57.583519,-37.944247 -57.583423))"
9;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";30.125053763440867;480;0.8211;584.5817;71;2.01004;290.831162455091;0;"POLYGON((-37.929948 -57.54055,-37.928454 -57.538496,-37.927848 -57.537599,-37.928203 -57.537062,-37.927137 -57.535689,-37.927188 -57.535539,-37.924444 -57.532203,-37.925189 -57.528277,-37.930216 -57.530508,-37.936139 -57.532225,-37.929948 -57.54055))"
10;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";29.3301639344262;770;0.8211;937.7664;45;2.01004;466.54165643864457;0;"POLYGON((-37.928066 -57.537073,-37.921008 -57.54677,-37.91896 -57.543552,-37.919027 -57.539497,-37.924427 -57.532482,-37.928066 -57.537073))"
11;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";29.547603833865832;324;0.8211;394.5926;20;2.01004;196.31103465706204;1;"POLYGON((-37.925036 -57.528061,-37.924952 -57.528297,-37.924326 -57.532395,-37.918909 -57.539346,-37.914135 -57.534261,-37.919214 -57.526838,-37.925036 -57.528061))"
12;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";27.996590330788795;418;0.8211;509.0732;16;2.01004;253.2654706380787;0;"POLYGON((-37.962769 -57.645388,-37.966308 -57.649296,-37.962451 -57.654466,-37.958932 -57.659402,-37.955294 -57.654897,-37.962769 -57.645388))"
13;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";28.947680817610095;1418;0.8211;1726.9517;86;2.01004;859.1637257532661;0;"POLYGON((-37.956631 -57.629086,-37.960996 -57.634192,-37.958204 -57.639942,-37.954008 -57.636466,-37.954144 -57.634771,-37.953484 -57.634235,-37.956631 -57.629086))"
14;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";28.240969162995572;270;0.8211;328.8272;11;2.01004;163.59252888105087;1;"POLYGON((-37.958035 -57.640135,-37.9557 -57.643525,-37.951047 -57.649725,-37.946597 -57.644318,-37.951707 -57.637689,-37.952282 -57.637389,-37.953788 -57.636595,-37.958035 -57.640135))"
23;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";35.67857142857143;7;0.8211;8.5251;0;2.01004;4.241287785751587;1;"POLYGON((-38.205537 -57.715044,-38.198489 -57.70586,-38.199804 -57.704358,-38.20004 -57.703156,-38.200985 -57.701097,-38.202671 -57.699852,-38.204863 -57.699466,-38.207257 -57.698951,-38.209314 -57.697792,-38.210191 -57.696376,-38.213732 -57.701139,-38.215485 -57.7035,-38.215552 -57.706418,-38.216227 -57.709122,-38.214743 -57.708821,-38.212484 -57.707362,-38.210832 -57.707105,-38.209449 -57.711225,-38.205537 -57.715044))"
